added,title,url,tags,description
2023-03-18T14:14:01+01:00,,https://photogabble.co.uk,personal geek,Simon Dann’s personal website
2023-03-06T13:54:13+01:00,Linus Bohman,https://linusbohman.se,personal geek odd,a personal website that allows the user to customize appearance and functionalities. So cool!
2023-02-03T13:30:20+01:00,distrochooser,https://distrochooser.de,geek linux,distrochooser.de attempts to help Linux beginners to choose a Linux distribution suited to their needs.
2022-12-12T14:55:03+01:00,cheat.sh,https://cheat.sh/,tool geek,The only cheat sheet you need. Unified access to the best community driven documentation repositories of the world.
2022-12-05T23:32:12+01:00,Ploum,https://ploum.net,,
2022-12-01T15:35:17+01:00,nnneon,https://fffuel.co/nnneon,geek tool web design,A cool tool to generate futuristic-looking SVG shapes that glow.
2022-11-22T10:57:17+01:00,Bloomberg Billionaires Index,https://bloomberg.com/billionaires,economics data,A daily ranking of the world’s richest people.
2022-11-19T13:11:28+01:00,Open Knowledge Maps,https://openknowledgemaps.org,knowledge,A visual interface to the world's scientific knowledge
2022-11-09T09:39:19+01:00,Delightful Club,https://delightful.club,geek,a delightful curated list of delightful curated lists
2022-11-01T19:23:51+01:00,HeydonWorks,https://heydonworks.com,people design,the wonderfully crafted website of Heydon Pickering
2022-11-01T20:49:38+01:00,Elly Joel,https://ellyjoel.com,people design zen zettlekasten,"a freelance developer, designer and writer"
2022-10-31T14:57:32+01:00,Hannah Lee,https://hannahlee.ca,people design,a freelance designer and art director in Toronto creating visual identities that have a clear and human point of view.
2022-10-26T18:42:04+02:00,tipocosa,https://tipocosa.it,people it friend,the website of my friend Carlo
2022-10-28T16:19:26+02:00,Hackaday,https://hackaday.com,geek DIY news,Fresh Hacks Every Day from around the Internet.
2022-10-28T15:25:12+02:00,European Alternatives,https://european-alternatives.eu,europe geek services,Find European alternatives for digital products
2022-09-15T20:22:18+02:00,,https://facciamo.cisti.org,,
2022-09-15T19:35:58+02:00,,https://autogestione.social,fediverse it,
2022-09-15T14:16:20+02:00,Amperage,https://amperage.fr,music place,"Salle de coopération culturelle, vous accompagne pour l'organisation de vos spectacles musicaux."
2022-07-02T13:41:00+02:00,Wiki thesis,https://wiki-thesis.web.app,info,Explaining the Wikipedia process through an interactive story
2022-07-02T13:41:33+02:00,Deepfake Lab,https://cattandrej.github.io/the-deepfake-lab-the-glass-room,info lab,Unraveling the mystery around deepfakes.
2022-06-09T12:38:30+02:00,Libreria Marco Polo,https://www.libreriamarcopolo.com,shop,"La più bella libreria di Venezia, che con mia grande sorpresa ha un sito molto basico, ma molto figo"
2022-05-06T09:50:29+02:00,openverse,https://wordpress.org/openverse,resources tool search,The search engine for openly licensed media.
2022-04-27T13:10:23+02:00,Public Icons,https://publicicons.lllllllllllllllll.com,web design,"A set of icons dedicated to the public domain, by [David Merfield](https://lllllllllllllllll.com/ 'David Merfield personal website')"
2022-04-26T15:15:02+02:00,iDKHOW Razzmatazz Cover,https://codepen.io/carterfromsl/pen/bGaGMbm,web design music art,"designed with HTML, CSS and JavaScript"
2022-04-26T15:13:40+02:00,Oh Hello Ana,https://ohhelloana.blog,personal design,personal website of web designer Ana Rodrigues
2022-04-26T12:11:38+02:00,Huemint,https://huemint.com,geek tool web design,"Huemint uses machine learning to create unique color schemes for your brand, website or graphic"
2022-04-26T11:37:53+02:00,@zachleat’s Twitter Archive,https://www.zachleat.com/twitter,geek odd,a webpage with [Zack Leatherman](https://www.zachleat.com/ 'Zack Leatherman’s personal website')’s tweets and some very basic stats.
2022-04-19T19:59:45+02:00,European Cultural Foundation,https://culturalfoundation.eu,org Europe,"promoting a European sentiment through developing and supporting cultural initiatives that let us share, experience and imagine Europe."
2022-04-19T15:49:16+02:00,Tactical Tech,https://tacticaltech.org,news magazine,"magazine about ethical technology. Beautifully designed website, with a [lite version](https://lite.tacticaltech.org/ 'Tactical Tech, lite version'), too!"
2022-04-19T05:11:21+02:00,Piccalilli,https://piccalil.li,personal design,"Andy Bell, an experienced freelance web designer and developer, based in the UK, specialising in creative web design and design systems."
2022-04-18T07:57:00+02:00,LURK,https://lurk.org,collective geek services,"hosting, facilitating and archiving discussions around net- and computational culture and politics"
2022-04-18T06:17:18+02:00,High Line,https://www.thehighline.org,association art design,"a nonprofit organization devoted to reimagining the role public spaces have in creating connected, healthy neighborhoods and cities."
2022-04-15T07:27:46+02:00,Europeana,https://europeana.eu,europe public art,access to millions of cultural heritage items from institutions across Europe.
2022-04-12T07:34:11+02:00,write without stopping,https://davidsterry.com/write-without-stopping,whimsical tool,Try writing without stopping or editing. No backspace and with beeps if you stop.
2022-03-21T16:43:17+01:00,lies.exposed,https://lies.exposed,knowledge,A chronological tracking of lies perpetrated against humanity.
2022-03-21T16:34:26+01:00,Bilge,https://bilge.world,knowledge people oddities,A narcoleptic yokel on software and culture.
2022-03-03T14:39:02+01:00,shell.how,https://www.shell.how,geek,Explain shell commands using [Fig](https://fig.io/ 'Fig')
2022-03-03T14:37:50+01:00,Easings,https://easings.net,geek web,a collection of easing functions for transition to choose from
2022-01-27T10:30:00+01:00,Boom.ink,https://boom.ink,design org,"A design studio based in Padova, Italy"
2022-01-27T10:26:56+01:00,Anner Visser,https://annervisser.nl,personal geek odd,a personal website into an Ubuntu terminal
2022-01-27T09:19:54+01:00,"I love you, computer",http://iloveyou.computer,odd audio,empathy with a machine
2022-01-17T13:11:09+01:00,Inside the head,https://insidethehead.co,poetry design,"a beautiful collection of poems that becomes an experience to read. I usually despise representations of writings with bells and whistles, but in this case all of the illustrations and animations enhance the meaning of the written content, rather than disturbing it."
2022-01-17T12:57:30+01:00,Bruno Simon,https://bruno-simon.com,personal design 3D,this designer was able to transform his portfolio website in a stunningly beautiful 3D game
2022-01-17T12:48:52+01:00,Niccolò Miranda,https://www.niccolomiranda.com,personal design,personal website of a very skilled designer who managed to make it look like a newspaper. Colors and fonts are so appealing.
2022-01-16T12:47:26+01:00,The Whimsical Web,https://whimsical.club,webring design,a webring collecting all sorts of wonderful websites
2022-01-16T09:01:26+01:00,Cassie Evans,https://www.cassie.codes,personal design,personal website of a super creative and awesome web designer
2021-12-30T16:50:52+01:00,HAHA Academy,https://haha.academy,knowledge oddities,A crowdsourced course of study for every branch of human knowledge 
2021-12-29T16:28:36+01:00,Cast Rewinder,https://rewind.website/about,utility podcast,it allows you to subscribe to a podcast from the beginning
2021-12-27T10:41:55+01:00,Rename Lemons,https://rename-lemons.neocities.org,fun,Lemons should be named yellows!
2021-12-19T10:13:14+01:00,sleepy.bike,https://sleepy.bike,service fediverse,a platform for bicycle touring community where members own their data (Solid) and which is connected to the broader hospex community of Open Hospitality Network (ActivityPub)
2021-12-19T10:10:14+01:00,Open Hospitality Network,https://openhospitality.network,service fediverse,a protocol to connect different hospitality exchange platforms to unify the community while enabling greater diversity and long term sustainability of all together.
2021-11-04T12:15:14+01:00,Formation,https://slay.sh,geek,A shell script to set up a macOS machine for design and development.
2021-10-25T16:59:43+02:00,The Framework Project,https://www.theframeworkproject.com,people geek tech,"Interviews about tech to great people, displayed in a nifty website"
2021-10-25T16:13:02+02:00,Feelings wheel,https://feelingswheel.com,zen,"every shade of feeling, in a wheel."
2021-10-25T15:11:13+02:00,emotional.codes,https://emotional.codes,tool zen,"a collection of tools by [Wesley Aptekar-Cassels](https://wesleyac.com 'Wesley Aptekar-Cassels’ presonal website'), useful for processing emotions and having interpersonal interactions."
2021-10-09T10:43:54+02:00,Firefox Profilemaker,https://ffprofile.com,geek tool,Create the Firefox profilw which suits you the best
2021-10-05T16:00:52+02:00,FilePizza,https://file.pizza,geek tool,Peer-to-peer in-browser file sharing
2021-09-25T11:02:00+02:00,Mailtape,https://www.mailta.pe,music,weekly newsletter promoting emerging artists
,,https://fishdraw.glitch.me,creativity draw,procedurally generated fish drawings
2021-08-12T12:26:44+02:00,Code Guide,https://codeguide.co,service learn resource,"Standards for developing consistent, flexible, and sustainable HTML and CSS."
2021-08-12T09:24:48+02:00,Panther,http://panther.audio,music tool,to discover new music through an infinite suggestion graph
2021-08-12T08:59:30+02:00,Josh Comeau,https://www.joshwcomeau.com,people design,"a wonderfully coded personal website, full of nifty little touches"
2021-08-12T08:10:19+02:00,CSS triangle generator,http://apps.eky.hk/css-triangle-generator/zh-hant,web design tool,to create triangles in CSS
2021-07-29T13:09:25+02:00,Whitebophir,https://wbo.ophir.dev,board collaborative tool,a very basic collaborative online whiteboard.
2021-07-29T12:34:07+02:00,My Mind,https://my-mind.github.io,mind mapping,online mind mapping service
2021-07-03T18:59:34+02:00,Biblioteca Possibile,https://www.riccardocrosa.it/biblioteca-possibile,bot creativity,a Twitter and Mastodon bot which generates fake <a href='https://www.adelphi.it/' target='_blank' hreflang='it' title='Adelphi Edizioni'>Adelphi</a> books every 10 minutes
2021-07-03T13:27:00+02:00,radio.garden,http://radio.garden,music streaming,listen to live radio stations around the globe
2020-10-27,Kinopio,https://kinopio.club,,
2020-10-27,Darius Kazemi’s Projects,https://tinysubversions.com/projects,,
2020-10-27,Playbit,https://playb.it,,
2020-11-02,Diskuti,https://diskuti.gr,,
2020-11-02,LobreOps,https://libreops.cc,,
2020-11-03,Prose,https://prose.io,,
2020-11-03,Markdown editor,https://jbt.github.io/markdown-editor,,
2020-11-03,Zenpen,https://zenpen.io,,
2020-11-03,Cursor,http://cursor.in,,
2020-11-03,px to em,http://pxtoem.com,,
2020-11-03,JustDeleteMe,https://justdeleteme.xyz,,
2020-11-03,JustGetMyData,https://justgetmydata.com,,
2020-11-03,DevHints,https://devhints.io,,
2020-11-03,Dillinger,https://dillinger.io,,
2020-11-03,oTranscribe,https://otranscribe.com,,
2020-11-03,Jawann Denn,https://jawanndenn.de,,
2020-11-03,Concentrics,https://tholman.com/concentrics,,
2020-11-03,Engineering Toolbox,https://www.engineeringtoolbox.com,,
2020-11-03,WriteUp,https://writeup.ai,,
2020-11-03,Brand Palettes,https://brandpalettes.com,,
2020-11-03,Andrew Pairman,https://shift.andrewpairman.com,,
2020-11-03,The Restart Project,https://therestartproject.org,,
2020-11-13,That’s the finger,https://thatsthefinger.com,,
2020-11-13,Le note di Azazel,http://azazel.it,,
2020-11-13,Andy Matuschak,https://andymatuschak.org,,
2020-11-13,Andy’s working notes,https://notes.andymatuschak.org,,
2020-11-14,Mersenne,https://www.mersenne.org,,
2020-11-14,Wikiwand,https://www.wikiwand.com,,
2020-11-14,Federated Wiki,http://fed.wiki.org/view/federated-wiki,,
2020-11-15,Polititweet,https://polititweet.org,,
2020-11-29,Joel Hooks,https://joelhooks.com,,
2020-11-29,Gwern,https://www.gwern.net/index,,
2020-11-29,Maggie Appleton,https://maggieappleton.com,,
2020-12-10,HTML Energy,https://html.energy,,
2020-12-15,Board,https://lablnet.github.io/board,,an interactive board
2020-12-15,,https://olawalejuwonm.github.io/rest-countries-api-with-color-theme-switcher,,
2020-12-15,Webapp Tools,https://webapp.tools,,
2020-12-15,1 Point,https://1pt.co,geek service,URL shortener
2020-12-15,Unavatar,https://unavatar.now.sh,,
2020-12-16,Excalidraw,https://excalidraw.com,tool design drawing,drawing freely
2021-01-06,Litewrite,https://litewrite.net,,
2021-01-06,0data,https://0data.app,,
2021-01-06,Find internet4000,https://find.internet4000.com,,
2021-01-07,Infinite Gnossiennes,https://gnossiennes.mousereeve.com,,
2021-01-16,Pussthecat,https://pussthecat.org,geek service,hosted open source services
2021-01-16,LearnAnything,https://learn-anything.xyz,,
2021-01-16,ss64,https://ss64.com,geek,command line reference
2021-01-16,Blank Website,http://www.blankwebsite.com,,
2021-01-17,Webjeda,https://webjeda.com,,
2021-01-17,Color mixer,https://colormixer.web.app,,
2021-01-18,Lunar Explosion,https://lunarexploration.esa.int/intro,,
2021-01-22,Bernie sits,https://bernie-sits.herokuapp.com,odd,
