who,note,lang,img,url,added,real,sex,met
Gale Boetticher,,en,https://www.cheatsheet.com/wp-content/uploads/2020/05/Gale-Boetticher.jpg,https://youtu.be/o24g21iJmRM?t=3,,0,m,0
Sir Baden Powell of Giwell,,en,https://upload.wikimedia.org/wikipedia/commons/c/c3/Robert-baden-powell-on-my-honor.jpg,"https://en.wikipedia.org/wiki/Robert_Baden-Powell,_1st_Baron_Baden-Powell",,1,m,0
Salvador Dalì,,es,https://exhibitions.salvador-dali.org/wp-content/uploads/2018/05/header-tablet_whitaker.jpg,https://www.britannica.com/biography/Salvador-Dali,,1,m,0
Federico Taddia,,it,https://images.tommi.space/i?/uploads/j/b/u/jbuqxznr00//2020/12/23/20201223030113-a4bad6b1-me.jpg,https://it.wikipedia.org/wiki/Federico_Taddia,2021-08-26,1,m,1
Bartolomeo Vanzetti,"Omonimo di <a href='https://it.wikipedia.org/wiki/Sacco_e_Vanzetti' target='_blank' title='Sacco e Vanzetti su Wikipedia'>quel</a> Bartolomeo Vanzetti, ma non lui",it,https://www.filmitalia.org/Files/2006/12/01/1164984905191.jpg,https://www.imdb.com/title/tt0289432/characters/nm0211144,2017-09-20,0,m,0
Amélie Poulain,,fr,https://film-grab.com/wp-content/uploads/photo-gallery/57%20(56).jpg?bwg=1547143599,https://www.imdb.com/title/tt0211915/characters/nm0851582,2020-10-26,0,f,0
Marco Ponti,,it,https://clickmag.it/wp-content/uploads/2017/05/marcoponti.jpg,https://it.wikipedia.org/wiki/Marco_Ponti,2020-10-26,1,m,1
Pippo Civati,,it,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Giuseppe_Civati_-_Festival_Economia_2014.JPG/640px-Giuseppe_Civati_-_Festival_Economia_2014.JPG,https://www.ciwati.it,2020-12-10,1,m,0
Luca Bottura,,it,https://iononlhointerrotta.files.wordpress.com/2015/06/luca-bottura.jpg,http://lucabottura.net,2020-12-10,1,m,0
Aaron Shwartz,,en,https://i.guim.co.uk/img/static/sys-images/Observer/Pix/pictures/2015/2/5/1423149855801/Internet-activist-Aaron-S-009.jpg?width=620&quality=85&auto=format&fit=max&s=339bc62533265d66c79fcf92eae94d16,https://www.wired.com/2013/01/aaron-swartz/,2021-06-16T13:06:38+02:00,1,m,0
Claire Underwood,,en,https://cms.qz.com/wp-content/uploads/2016/05/hoc_401_01783r1-e1463586857839.jpeg?quality=75&strip=all&w=3200&h=1802,https://en.wikipedia.org/wiki/Claire_Underwood,2021-12-08T22:55:48+01:00,0,f,0
Jonathan Larson,"Whose life is wonderfully represented in <a href='https://en.wikipedia.org/wiki/Tick,_Tick..._Boom!_(film)' target='_blank' title='“Tick, Tick… Boom!„ on Wikipedia'>Tick, Tick… Boom!</a>, that is among <a href='https://tommi.space/cinema#favorites' target='_blank' title='Tommi’s favorite movies'>my favorite movies</a>/musicals",en,https://i.pinimg.com/736x/8d/12/28/8d1228641259059550bf4b5699a6de9a.jpg,https://en.wikipedia.org/wiki/Jonathan_Larson,2022-01-02T23:23:02+01:00,1,m,0
