name,city,country,description,url,plot,osm,lat,lon,tags,aliases,img,date
Casa Campo,Venezia,it,"La mia prima casa di sempre a Venezia: un po’ una casa, un po’ un ac*camp*amento. Affacciata sull’iconico Campo Santa Margherita.",,,,45.43472,12.3239,home,,https://tommi.space/casa-campo.webp,2021-04-13T12:53:55+02:00
Il Cubo,Sanremo,it,"La spiaggia più bella di Sanremo, nonché unico luogo al mondo dove è possibile bere il <cite>Tommi Boom</cite>.",https://instagram.com/ilcuboofficial,https://tommi.space/cubo,https://osm.org/way/933939481,43.82182,7.81606,,,,2018
Brillo Parlante,Venezia,it,Il luogo più adatto per farsi un bel <cite>Drunch</cite>.,,https://tommi.space/brillo-parlante,https://osm.org/node/8739767447,45.43821,12.32656,bar,,https://tommi.space/brillo-parlante.jpg,2021-05-15T15:26:12+02:00
Xplosion Attic,Riva Ligure,it,La soffitta dove ho vissuto la mia adolescenza e dove rivivo il me adolescente.,,https://tommi.space/xplosion-attic,,43.83586,7.87679,home,Soffitta,https://tommi.space/xplosion-attic.webp,2000
La Casbah,Sanremo,it,Fumare narghilé sprofondando in dolcissimi divanetti.,https://lacasbah.it,,https://osm.org/node/9585826293,43.81854,7.77591,bar,,,2017
La Fesseria,Napoli,it,Locale speciale in cui bevvi il Negroni più buono che abbia mai assaggiato.,https://facebook.com/fesseria,,https://osm.org/node/9585819640,40.84771,14.25678,bar,,,2020-07
Il Circolo dei Lettori,Torino,it,Dimora delle mie tribolazioni nella mia fase di indecisione profonda e desiderio di abbandonare ingegneria.,https://circololettori.it,https://tommi.space/sono-innamorato,https://osm.org/node/2356962973,45.06856,7.68771,,,https://tommi.space/2019-11-30-sono-innamorato.jpg,2019-11
Sala Studio 3,Torino,it,"Dove studiai per la mia primissima sessione, nel lontano gennaio 2020.",https://polito.it/ateneo/sedi/index.php?bl_id=TO_CEN04&fl_id=XPTE&rm_id=P005&lang=it,https://tommi.space/avanguardia,,45.06418,7.66165,,Aula verde,https://tommi.space/2020-02-07-avanguardia.jpg,2020-02-07
L’Angolo dei Sapori,Amalfi,it,Per un pranzo indimenticabile con persone speciali.,https://facebook.com/L-Angolo-Dei-Sapori-prodotti-tipici-agerolesi-Amalfi-256224698501009,,https://osm.org/node/9591819070,40.6377578,14.6015313,,,,
Arco sulla spiaggia,Amalfi,it,"L’unica volta in cui sono stato ad Amalfi con quei pazzi della Giffoni Factory, siamo stati qui.",,,,40.63355,14.60488,,,,2020-08-25
