title,lang,from,to
Issues,en,/issues/,https://github.com/xplosionmind/tommi.space/issues
Code changelog,en,/changelog/,https://codeberg.org/tommi/tommi.space/commits/branch/main
CSS,en,/css/,https://github.com/xplosionmind/CSS
Watchlist (temporary solution),en,/watchlist/,https://trakt.tv/users/tommi/watchlist
Watchlog (temporary solution),en,/watchlog/,https://trakt.tv/users/tommi/history
dotfiles,en,/dotfiles/,https://codeberg.org/tommi/dotfiles
Plan a meeting,en,/meet/,https://apt.mt/tommi/0/
15 minutes Meeting,en,/meet/15m/,https://apt.mt/tommi/0/
30 minutes Meeting,en,/meet/30m/,https://apt.mt/tommi/0/
1h Meeting,en,/meet/1h/,https://apt.mt/tommi/0/
Donation page,en,/donate/,https://billing.stripe.com/p/login/6oE7tGepC4Au7YsdQQ
Curriculum Vitæ,en,/cv/,/tommasomarmo-CV-en.pdf
Curriculum Vitæ (Italiano),it,/it/cv/,/tommasomarmo-CV-it.pdf
Twitter Archive,en,/twitter/,https://twitter.tommi.space
Reading,en,/reading/,/tag/reading/
Leggere,it,/leggere/,/tag/reading/
Lettura,it,/lettura/,/tag/reading/
XPUB T2 Assessment,en,/xpub/T2/,https://hub.xpub.nl/sergio/~tommi/t2.html
BarrioBardsBanquet Live,en,/bbb/join/,https://meet.hack42.nl/BarrioBardsBanquet
