when,title,imdb,season,episode,lat,lon,where,notes,favorite
2022-04-11T23:56:39+02:00,Silicon Valley,tt2575988,6,*,45.432421,12.323672,torrent,,
2022-04-10T23:36:13+02:00,Silicon Valley,tt2575988,5,*,45.432421,12.323672,torrent,,
2022-04-10T23:36:11+02:00,Silicon Valley,tt2575988,4,*,45.432421,12.323672,torrent,,
2022-04-08T23:49:47+02:00,Silicon Valley,tt2575988,3,*,45.432421,12.323672,torrent,,
2022-04-07T22:34:44+02:00,Silicon Valley,tt2575988,1,*,45.432421,12.323672,torrent,,
2022-04-06T00:34:44+02:00,Silicon Valley,tt2575988,1,*,45.432421,12.323672,torrent,,
2022-04-04T15:35:57+02:00,Heist,tt0252503,,,45.432421,12.323672,torrent,,
2022-04-01T16:53:32+02:00,Death on the Nile,tt7657566,,,45.432421,12.323672,Stremio,,
2022-04-01T01:21:32+01:00,L’ultimo terrestre,tt2006781,,,45.432421,12.323672,Mubi,,
2022-03-23T19:39:15+01:00,Il materiale emotivo,tt10072662,,,45.432421,12.323672,Stremio,,
2022-03-21T19:45:01+01:00,Miss Sloane,tt4540710,,,45.432421,12.323672,Stremio,,
2022-03-18T23:46:06+01:00,The Undoing,tt8134470,1,*,45.432421,12.323672,torrent,,
2022-03-18T17:47:44+01:00,S.W.A.T.,tt18264550,5,13,45.432421,12.323672,Stremio,,
2022-03-18T17:01:39+01:00,How I Met Your Father,tt14500082,1,10,45.432421,12.323672,Stremio,,
2022-03-18T16:36:26+01:00,The Flight Attendant,tt7569576,,,45.432421,12.323672,torrent,,
2022-03-18T00:23:30+01:00,Spider-Man: No Way Home,tt10872600,,,45.432421,12.323672,torrent,,
2022-03-13T11:54:16+01:00,Il Santone,tt17770144,1,*,45.432421,12.323672,RaiPlay,,
2022-03-13T01:00:28+01:00,Non mi lasciare,tt13734336,1,8,45.432421,12.323672,RaiPlay,,
2022-03-13T00:14:16+01:00,Non mi lasciare,tt13734336,1,7,45.432421,12.323672,RaiPlay,,
2022-03-12T23:22:57+01:00,Non mi lasciare,tt13734336,1,6,45.432421,12.323672,RaiPlay,,
2022-03-12T22:21:33+01:00,Non mi lasciare,tt13734336,1,5,45.432421,12.323672,RaiPlay,,
2022-03-12T16:15:49+01:00,Non mi lasciare,tt13734336,1,4,45.432421,12.323672,RaiPlay,,
2022-03-12T16:15:49+01:00,Non mi lasciare,tt13734336,1,3,45.432421,12.323672,RaiPlay,,
2022-03-12T16:15:49+01:00,Non mi lasciare,tt13734336,1,2,45.432421,12.323672,RaiPlay,,
